codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo
46014,Valencia/València,"València, Xirivella",136027.33333333334,128168.16666666666,6.13,True,True,,,,False,False
46016,Valencia/València,"Tavernes Blanques, València",129804.83333333334,122293.66666666666,6.14,True,True,,,,False,False
46135,Valencia/València,"Albalat dels Sorells, Emperador, València",125048.83333333334,117793.66666666666,6.16,True,True,,,,False,False
46131,Valencia/València,"Bonrepòs i Mirambell, València",124095.83333333334,116807.66666666666,6.24,True,True,,,,False,False
46015,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46005,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46002,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46006,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46007,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46008,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46009,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46010,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46001,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46011,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46012,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46013,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46018,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46003,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46017,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46019,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46020,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46021,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46022,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46023,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46024,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46025,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46026,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46035,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
46112,Valencia/València,València,119980.83333333334,113069.66666666666,6.11,True,True,,,,False,False
