codigo_postal,tipo,nombre
46010,supermercado,Mercadona
46006,supermercado,Consum
03015,supermercado,Carrefour
30011,supermercado,Carrefour
15011,supermercado,Gadis
15011,supermercado,Carrefour
15011,supermercado,Eroski
03710,supermercado,Mercadona
03710,supermercado,Mercadona
46015,supermercado,Mercadona
03760,supermercado,Carrefour
03007,supermercado,Carrefour
36202,supermercado,Eroski Center
46035,supermercado,Mercadona
15179,supermercado,Gadis
15001,supermercado,Gadis
15001,supermercado,Mercadona
15008,supermercado,Gadis
30880,supermercado,Carrefour
03760,supermercado,Mercadona
43480,supermercado,Mercadona
30710,supermercado,Consum
15630,supermercado,Gadis
36202,supermercado,Gadis
15005,supermercado,Eroski
43205,supermercado,Consum
46015,supermercado,Consum
46015,supermercado,Mercadona
46015,supermercado,Consum
46015,supermercado,Consum
12539,supermercado,Consum
30430,supermercado,Mercadona
46015,supermercado,Carrefour
46015,supermercado,Mercadona
15705,supermercado,Gadis
15300,supermercado,Gadis
46022,supermercado,Mercadona
43850,supermercado,Mercadona
03007,supermercado,Mercadona
46023,supermercado,Mercadona
15007,supermercado,Gadis
15006,supermercado,Gadis
15008,supermercado,Eroski
15140,supermercado,Eroski City
15002,supermercado,Gadis
15960,supermercado,Mercadona
46004,supermercado,Consum
46004,supermercado,Consum
46006,supermercado,Mercadona
46010,supermercado,Consum
46010,supermercado,Mercadona
32001,supermercado,Mercadona
43204,supermercado,Consum
36940,supermercado,Eroski
03182,supermercado,Mercadona
15009,supermercado,Gadis
46100,supermercado,Consum
30870,supermercado,Consum
30510,supermercado,Consum
46390,supermercado,Eroski
46020,supermercado,Mercadona
46011,supermercado,Consum
15864,supermercado,Mercadona
30008,supermercado,Consum
15320,supermercado,Gadis
15011,supermercado,Gadis
30506,supermercado,Consum
46970,supermercado,Consum
46970,supermercado,Consum
15220,supermercado,Mercadona
15930,supermercado,Mercadona
46950,supermercado,Consum
46950,supermercado,Mercadona
46011,supermercado,Mercadona
27003,supermercado,Eroski
27003,supermercado,Gadis
15009,supermercado,Eroski
15007,supermercado,Mercadona
30140,supermercado,Mercadona
15160,supermercado,Eroski
32005,supermercado,Mercadona
32005,supermercado,Gadis
15002,supermercado,Gadis
03204,supermercado,Mercadona
15270,supermercado,Gadis
46920,supermercado,Consum
46920,supermercado,Consum
46910,supermercado,Consum
15003,supermercado,Carrefour Express
46008,supermercado,Mercadona
15175,supermercado,Eroski City
15172,supermercado,Gadis
15670,supermercado,Gadis
43850,supermercado,Mercadona
43840,supermercado,Alcampo
15510,supermercado,Eroski
15270,supermercado,Carrefour
30002,supermercado,Mercadona
15008,supermercado,Mercadona
15179,supermercado,Gadis
15006,supermercado,Gadis
15009,supermercado,Gadis
15173,supermercado,Gadis
46035,supermercado,Consum
15004,supermercado,Gadis
46950,supermercado,Consum
15006,supermercado,Mercadona
46002,supermercado,Mercadona
32300,supermercado,Gadis
36207,supermercado,Eroski
36206,supermercado,Gadis
36205,supermercado,Mercadona
36206,supermercado,Eroski
36206,supermercado,Gadis
46520,supermercado,Consum
46780,supermercado,Consum
15004,supermercado,Gadis
15005,supermercado,Gadis
15004,supermercado,Gadis
15006,supermercado,Gadis
15630,supermercado,Eroski
46136,supermercado,Mercadona
15142,supermercado,Eroski
15142,supermercado,Gadis
15100,supermercado,Gadis
43850,supermercado,Mercadona
15004,supermercado,Gadis
15003,supermercado,Gadis
15003,supermercado,Gadis
15010,supermercado,Gadis
15010,supermercado,Gadis
15010,supermercado,Gadis
15010,supermercado,Gadis
03004,supermercado,Mercadona
36204,supermercado,Gadis
36204,supermercado,Eroski
46011,supermercado,Consum
30007,supermercado,Mercadona
43003,supermercado,Carrefour Market
46389,supermercado,Consum
30400,supermercado,Consum
30876,supermercado,Consum
30591,supermercado,Eroski
30800,supermercado,Consum
30880,supermercado,Eroski City
30594,supermercado,Consum
30740,supermercado,Consum
30820,supermercado,Consum
30500,supermercado,Consum
30005,supermercado,Consum
30009,supermercado,Consum
46022,supermercado,Consum
46010,supermercado,Consum
46001,supermercado,Consum
46910,supermercado,Consum
46005,supermercado,Mercadona
03502,supermercado,Consum
15406,supermercado,Gadis
36209,supermercado,Gadis
46780,supermercado,Mercadona
15350,supermercado,Eroski
46007,supermercado,Consum
15145,supermercado,Gadis
15129,supermercado,Gadis
30011,supermercado,Mercadona
15008,supermercado,Gadis
46740,supermercado,Consum
15007,supermercado,Gadis
36800,supermercado,Eroski
12150,supermercado,Consum
